Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
"2012-04-30  Transformationen (Web-Fassung).pdf";1452104;"Henning Wenke, M. Sc.";"2012-04-30 18:05:09";"2012-04-30  Transformationen";"Transformationen: Skalierung, Rotation um Achsen, Translation, homogene Koordinaten, zusammengesetzte Transformationen";/2012-04-30__Transformationen_Web-Fassung.pdf
"2012-05-07 Transformationen & OpenGL Einführung (Web).pdf";2905481;"Henning Wenke, M. Sc.";"2012-05-07 12:21:44";"2012-05-07 Transformationen & OpenGL Einführung (Web).pdf";;/2012-05-07_Transformationen_+_OpenGL_Einführung_Web.pdf
"2012-05-08  OpenGL & GLSL Grundlagen, Spracheigenschaften, Syntax.pdf";4370770;"Henning Wenke, M. Sc.";"2012-05-08 12:44:26";"2012-05-08  OpenGL & GLSL Grundlagen, Spracheigenschaften, Syntax.pdf";;/2012-05-08__OpenGL_+_GLSL_Grundlagen,_Spracheigenschaften,_Syntax.pdf
"2012-05-14  Transformationen mit OpenGL (Web).pdf";3154346;"Henning Wenke, M. Sc.";"2012-05-14 13:39:02";"2012-05-14  Transformationen mit OpenGL (Web).pdf";;/2012-05-14__Transformationen_mit_OpenGL_Web.pdf
"2012-05-15  Transformationen mit OpenGL.pdf";3710060;"Henning Wenke, M. Sc.";"2012-05-15 11:54:56";"2012-05-15  Transformationen mit OpenGL.pdf";;/2012-05-15__Transformationen_mit_OpenGL.pdf
"2012-05-21  Übergeben der Vertexdaten (Web).pdf";5145361;"Henning Wenke, M. Sc.";"2012-05-21 12:10:17";"2012-05-21  Übergeben der Vertexdaten (Web).pdf";;/2012-05-21__Übergeben_der_Vertexdaten_Web.pdf
"2012-05-22  Viewing & Projection (web).pdf";1946503;"Henning Wenke, M. Sc.";"2012-05-22 22:54:47";"2012-05-22  Viewing & Projection (web).pdf";;/2012-05-22__Viewing_+_Projection_web.pdf
"2012-05-29  Projection Transformation (Web).pdf";2180481;"Henning Wenke, M. Sc.";"2012-05-29 12:16:43";"2012-05-29  Projection Transformation (Web).pdf";;/2012-05-29__Projection_Transformation_Web.pdf
"2012-06-05  Per Primitive operations & Farbe (Web).pdf";3895763;"Henning Wenke, M. Sc.";"2012-06-05 12:20:29";"2012-06-05  Per Primitive operations & Farbe (Web).pdf";;/2012-06-05__Per_Primitive_operations_+_Farbe_Web.pdf
"2012-06-11  Rasterization (Web).pdf";2314065;"Henning Wenke, M. Sc.";"2012-06-11 12:19:13";"2012-06-11  Rasterization (Web).pdf";;/2012-06-11__Rasterization_Web.pdf
"2012-06-12  Rasterization_FS_PFS (Web).pdf";3919772;"Henning Wenke, M. Sc.";"2012-06-12 17:17:18";"2012-06-12  Rasterization_FS_PFS (Web).pdf";;/2012-06-12__Rasterization_FS_PFS_Web.pdf
"2012-06-18  Texturing (Web).pdf";4467205;"Henning Wenke, M. Sc.";"2012-06-18 12:17:52";"2012-06-18  Texturing (Web).pdf";;/2012-06-18__Texturing_Web.pdf
"2012-06-25  Parallele Algorithmen mit OpenCL (Web).pdf";4703820;"Henning Wenke, M. Sc.";"2012-06-25 12:13:10";"2012-06-25  Parallele Algorithmen mit OpenCL (Web).pdf";;/2012-06-25__Parallele_Algorithmen_mit_OpenCL_Web.pdf
"2012-06-26  Particles (web).pdf";3035143;"Henning Wenke, M. Sc.";"2012-06-26 12:22:37";"2012-06-26  Particles (web).pdf";;/2012-06-26__Particles_web.pdf
"2012-07-02  OpenCL & Raytracing.pdf";4461754;"Henning Wenke, M. Sc.";"2012-07-02 11:55:10";"2012-07-02  OpenCL & Raytracing.pdf";;/2012-07-02__OpenCL_+_Raytracing.pdf
"2012-07-03  KD Tree Rendering (Web).pdf";2963884;"Henning Wenke, M. Sc.";"2012-07-03 12:14:01";"2012-07-03  KD Tree Rendering (Web).pdf";;/2012-07-03__KD_Tree_Rendering_Web.pdf
"2012-07-09  KD-Tree Nachtrag und Rest (Web).pdf";3501018;"Henning Wenke, M. Sc.";"2012-07-09 16:49:10";"2012-07-09  KD-Tree Nachtrag und Rest (Web).pdf";;/2012-07-09__KD-Tree_Nachtrag_und_Rest_Web.pdf
"2012-07-10  Probeklausur Lösung.pdf";2325298;"Henning Wenke, M. Sc.";"2012-07-11 18:04:32";"2012-07-10  Probeklausur Lösung.pdf";;/2012-07-10__Probeklausur_Lösung.pdf
"Lighting (Web).pdf";3299387;"Henning Wenke, M. Sc.";"2012-06-19 12:02:03";"Lighting (Web).pdf";;/Lighting_Web.pdf
