Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
SWEng_10_Modell_WS11_12.pdf;737875;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2011-12-07 16:10:41";"Foliensatz 10: Software-Modelle (4)";;/SWEng_10_Modell_WS11_12.pdf
SWEng_11_Modell_WS11_12.pdf;983044;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2012-01-03 19:50:08";"Foliensatz 11: Software-Modelle (5)";;/SWEng_11_Modell_WS11_12.pdf
SWEng_12_Vorgehen_WS11_12.pdf;964454;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2012-01-04 17:30:52";"Foliensatz 12: Software-Vorgehensmodelle (1)";;/SWEng_12_Vorgehen_WS11_12.pdf
SWEng_13_Vorgehen_WS11_12.pdf;784143;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2012-01-11 15:53:33";"Foliensatz 13: Software-Vorgehensmodelle (2)";;/SWEng_13_Vorgehen_WS11_12.pdf
SWEng_14_Qualitaet_WS11_12.pdf;764141;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2012-01-25 10:17:55";"Foliensatz 14: Software-Qualität";;/SWEng_14_Qualitaet_WS11_12.pdf
SWEng_1_Krise_WS11_12.pdf;1222895;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2011-10-19 00:16:46";"Foliensatz 1: Software-Krise und Software Engineering";;/SWEng_1_Krise_WS11_12.pdf
SWEng_2_Grund_WS11_12.pdf;185771;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2011-10-19 21:32:55";"Foliensatz 2: Grundlagen des Software Engineering";;/SWEng_2_Grund_WS11_12.pdf
SWEng_3_PM_WS11_12.pdf;269300;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2011-10-25 12:27:40";"Foliensatz 3: Projektmanagement";;/SWEng_3_PM_WS11_12.pdf
SWEng_4_Aufwand_WS11_12.pdf;181623;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2011-11-08 15:53:43";"Foliensatz 4: Aufwandsschätzung";;/SWEng_4_Aufwand_WS11_12.pdf
SWEng_5_KM_WS11_12.pdf;1225052;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2011-11-09 18:03:09";"Foliensatz 5: Konfigurationsmanagement (1)";;/SWEng_5_KM_WS11_12.pdf
SWEng_6_KM_WS11_12.pdf;415001;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2011-11-22 16:07:28";"Foliensatz 6: Konfigurationsmanagement (2)";;/SWEng_6_KM_WS11_12.pdf
SWEng_7_Modell_WS11_12.pdf;319999;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2011-11-29 15:52:25";"Foliensatz 7: Software-Modelle (1)";;/SWEng_7_Modell_WS11_12.pdf
SWEng_8_Modell_WS11_12.pdf;391760;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2011-11-30 10:41:28";"Foliensatz 8: Software-Modelle (2)";;/SWEng_8_Modell_WS11_12.pdf
SWEng_9_Modell_WS11_12.pdf;822000;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2011-12-07 16:09:31";"Foliensatz 9: Software-Modelle (3)";;/SWEng_9_Modell_WS11_12.pdf
JUnitTest.tgz;7090497;"Juniorprof. Dr.-Ing. Elke Pulvermüller";"2012-01-26 14:30:48";"JUnit-Tests (Code aus der Vorlesung)";;/JUnitTest.tgz
